Accession,Organismo,Gen,Producto,Proteína
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fabD,ACP S-malonyltransferase,WVL19536.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fabH,beta-ketoacyl-ACP synthase III,WVL19537.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,plsX,phosphate acyltransferase PlsX,WVL19538.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rpmF,50S ribosomal protein L32,WVL19539.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yceD,23S rRNA accumulation protein YceD,WVL19540.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,Maf family protein,WVL19541.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL19542.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF3053 domain-containing protein,WVL23504.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rluC,23S rRNA pseudouridine(955/2504/2580) synthase RluC,WVL19543.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rne,ribonuclease E,WVL19544.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgL,flagellar hook-associated protein FlgL,WVL19545.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgK,flagellar hook-associated protein FlgK,WVL19546.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgJ,flagellar assembly peptidoglycan hydrolase FlgJ,WVL19547.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,flagellar basal body P-ring protein FlgI,WVL19548.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgH,flagellar basal body L-ring protein FlgH,WVL19549.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgG,flagellar basal-body rod protein FlgG,WVL19550.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,flagellar basal body rod protein FlgF,WVL19551.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgE,flagellar hook protein FlgE,WVL19552.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgD,flagellar hook assembly protein FlgD,WVL19553.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgC,flagellar basal body rod protein FlgC,WVL19554.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgB,flagellar basal body rod protein FlgB,WVL19555.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgA,flagellar basal body P-ring formation chaperone FlgA,WVL19556.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgM,flagellar biosynthesis anti-sigma factor FlgM,WVL19557.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,flgN,flagella biosynthesis chaperone FlgN,WVL19558.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,murJ,murein biosynthesis integral membrane protein MurJ,WVL19559.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,Gfo/Idh/MocA family protein,WVL19560.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YceH family protein,WVL19561.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rimJ,ribosomal protein S5-alanine N-acetyltransferase,WVL19562.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mdtH,multidrug efflux MFS transporter MdtH,WVL19563.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,grxB,glutaredoxin 2,WVL19564.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,lipoprotein,WVL19565.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pyrC,dihydroorotase,WVL19566.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dinI,DNA damage-inducible protein I,WVL19567.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,bssS,biofilm formation regulator BssS,WVL19568.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,solA,N-methyl-L-tryptophan oxidase,WVL19569.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YceO family protein,WVL19570.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,cytochrome b,WVL19571.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YceI family protein,WVL19572.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,rhodanese-related sulfurtransferase,WVL19573.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,Kdo(2)-lipid IV(A) acyltransferase,WVL19574.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mdtG,multidrug efflux MFS transporter MdtG,WVL19575.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MysB family protein,WVL19576.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YceK/YidQ family lipoprotein,WVL19577.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mdoH,glucans biosynthesis glucosyltransferase MdoH,WVL19578.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mdoG,glucans biosynthesis protein MdoG,WVL19579.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mdoC,glucans biosynthesis protein MdoC,WVL19580.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phospholipase D family protein,WVL19581.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ymdB,O-acetyl-ADP-ribose deacetylase,WVL19582.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,type 1 fimbrial protein,WVL19583.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csgC,curli assembly chaperone CsgC,WVL19584.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csgA,curli major subunit CsgA,WVL19585.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csgB,curli minor subunit CsgB,WVL19586.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csgD,biofilm master transcriptional regulator CsgD,WVL19587.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csgE,curli production assembly/transport protein CsgE,WVL19588.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csgF,curli production assembly/transport protein CsgF,WVL19589.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csgG,curli production assembly/transport protein CsgG,WVL19590.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF1097 domain-containing protein,WVL19591.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,TorD/DmsD family molecular chaperone,WVL19592.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phosphatase,WVL19593.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ghrA,glyoxylate/hydroxypyruvate reductase GhrA,WVL19594.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,Gfo/Idh/MocA family protein,WVL19595.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MFS transporter,WVL19596.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,oligogalacturonate-specific porin KdgM family protein,WVL19597.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,N-acetylneuraminate epimerase,WVL19598.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,N-acetylmannosamine-6-phosphate 2-epimerase,WVL19599.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,sodium:solute symporter,WVL19600.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MurR/RpiR family transcriptional regulator,WVL19601.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,phoH,phosphate starvation-inducible protein PhoH,WVL19602.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,putP,sodium/proline symporter PutP,WVL19603.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,putA,trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase,WVL19604.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,lysozyme inhibitor LprI family protein,WVL19605.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rutR,HTH-type transcriptional regulator RutR,WVL19606.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,general stress protein,WVL19607.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,wrbA,NAD(P)H:quinone oxidoreductase,WVL19608.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YccJ family protein,WVL19609.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,agp,bifunctional glucose-1-phosphatase/inositol phosphatase,WVL19610.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,protein disulfide oxidoreductase,WVL19611.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DsbA family protein,WVL19612.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,protein-disulfide reductase DsbD family protein,WVL19613.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,copper resistance protein,WVL19614.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cbpA,curved DNA-binding protein,WVL19615.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cbpM,chaperone modulator CbpM,WVL19616.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,anti-adapter protein IraM,WVL19617.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MBL fold metallo-hydrolase,WVL19618.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaA,4-hydroxyphenylacetate catabolism regulatory protein HpaA,WVL19619.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaX,4-hydroxyphenylacetate permease,WVL19620.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaI,4-hydroxy-2-oxoheptanedioate aldolase,WVL19621.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaH,"2-oxo-hept-4-ene-1,7-dioate hydratase",WVL19622.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,WVL19623.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaD,"3,4-dihydroxyphenylacetate 2,3-dioxygenase",WVL19624.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaE,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase,WVL19625.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaG,4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase,WVL19626.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaR,homoprotocatechuate degradation operon regulator HpaR,WVL19627.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hpaB,"4-hydroxyphenylacetate 3-monooxygenase, oxygenase component",WVL19628.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,4-hydroxyphenylacetate 3-monooxygenase reductase subunit,WVL19629.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hiuH,hydroxyisourate hydrolase,WVL19630.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hprR,response regulator transcription factor HprR,WVL19631.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,heavy metal sensor histidine kinase,WVL19632.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,C69 family dipeptidase,WVL19633.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL19634.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YlcI/YnfO family protein,WVL19635.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sopB,SPI-1 type III secretion system effector inositol phosphate phosphatase SopB,WVL19636.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sigE,type III secretion system chaperone SigE,WVL19637.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL23505.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pipB,SPI-2 type III secretion system effector PipB,WVL19638.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pipA,type III secretion system effector protease PipA,WVL19639.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yccA,FtsH protease modulator YccA,WVL19640.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,tusE,sulfurtransferase TusE,WVL19641.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yccX,acylphosphatase,WVL19642.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,helix-turn-helix transcriptional regulator,WVL19643.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YbhB/YbcL family Raf kinase inhibitor-like protein,WVL19644.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rlmI,23S rRNA (cytosine(1962)-C(5))-methyltransferase RlmI,WVL19645.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hspQ,heat shock protein HspQ,WVL19646.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,CoA-binding protein,WVL23506.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF2057 family protein,WVL19647.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mgsA,methylglyoxal synthase,WVL19648.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,helD,DNA helicase IV,WVL19649.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YccF domain-containing protein,WVL19650.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yccS,YccS family putative transporter,WVL19651.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,TfoX/Sxy family DNA transformation protein,WVL19652.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sulA,SOS-induced cell division inhibitor SulA,WVL19653.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ompA,porin OmpA,WVL19654.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,matP,macrodomain Ter protein MatP,WVL19655.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,AAA family ATPase,WVL19656.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fabA,bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase,WVL19657.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rmf,ribosome modulation factor,WVL19658.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pqiC,membrane integrity-associated transporter subunit PqiC,WVL19659.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pqiB,intermembrane transport protein PqiB,WVL19660.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pqiA,membrane integrity-associated transporter subunit PqiA,WVL19661.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ABC transporter ATP-binding protein,WVL19662.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rlmKL,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,WVL19663.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YcbX family protein,WVL19664.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,zapC,cell division protein ZapC,WVL19665.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pyrD,quinone-dependent dihydroorotate dehydrogenase,WVL19666.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pepN,aminopeptidase N,WVL23507.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DinI-like family protein,WVL23508.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gtgE,virulence effector protease GtgE,WVL19667.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL19668.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,SOS response-associated peptidase,WVL19669.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,IS66 family transposase,ND
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sseI,SPI-2 type III secretion system effector SseI,WVL19670.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,tail fiber assembly protein,ND
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,tail fiber assembly protein,WVL19671.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage tail protein,WVL19672.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL19673.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gpJ,phage attachment tail tip protein J,WVL19674.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,tail assembly protein,WVL19675.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,C40 family peptidase,WVL19676.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage minor tail protein L,WVL19677.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage tail protein,WVL19678.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage tail tape measure protein,WVL19679.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage tail assembly protein T,WVL23509.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gpG,phage tail assembly chaperone G,WVL19680.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage tail tube protein,WVL19681.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage minor tail U family protein,WVL19682.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,RNA-guided endonuclease InsQ/TnpB family protein,WVL19683.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage tail protein,WVL19684.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,head-tail joining protein,WVL19685.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DNA-packaging protein FI,WVL19686.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,major capsid protein,WVL19687.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,head decoration protein,WVL19688.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,S49 family peptidase,WVL19689.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage portal protein,WVL19690.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage head-tail joining protein,WVL19691.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,phage terminase large subunit family protein,WVL19692.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,terminase small subunit,WVL19693.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pliG,g-type lysoyme inhibitor PliG,WVL19694.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,lysis protein,WVL19695.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,lysozyme,WVL19696.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,"phage holin, lambda family",WVL23510.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gogA,type III secretion system effector protease GogA,WVL19697.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL19698.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,bacteriophage antitermination protein Q,WVL19699.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YlcG family protein,WVL19700.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,recombination protein NinG,WVL19701.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL23511.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF1367 family protein,WVL19702.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DinI family protein,WVL19703.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL19704.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ead/Ea22-like family protein,ND
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF977 family protein,WVL19705.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ATP-binding protein,WVL19706.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,replication protein,WVL19707.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,CII family transcriptional regulator,WVL19708.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,helix-turn-helix domain-containing protein,WVL19709.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,helix-turn-helix domain-containing protein,WVL23512.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL19710.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YdaE family protein,WVL19711.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DNA breaking-rejoining protein,WVL19712.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,RecE family exodeoxyribonuclease,WVL19713.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,RecT family recombinase,WVL19714.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF4060 family protein,WVL19715.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,xis,excisionase Xis,WVL19716.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,int,FimB-specific integrase Int,WVL19717.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pncB,nicotinate phosphoribosyltransferase,WVL19718.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,alanine/glycine:cation symporter family protein,WVL19719.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dpaL,diaminopropionate ammonia-lyase,WVL19720.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,Lrp/AsnC family transcriptional regulator,WVL19721.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,asnS,asparagine--tRNA ligase,WVL19722.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ompF,porin OmpF,WVL19723.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,aspC,aspartate transaminase,WVL19724.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MBL fold metallo-hydrolase,WVL19725.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF882 domain-containing protein,WVL19726.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ldtD,"L,D-transpeptidase",WVL19727.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mukB,chromosome partition protein MukB,WVL19728.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mukE,chromosome partition protein MukE,WVL19729.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mukF,chromosome partition protein MukF,WVL19730.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cmoM,tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM,WVL19731.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,elyC,envelope biogenesis factor ElyC,WVL19732.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YcbJ family phosphotransferase,WVL19733.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,WVL19734.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ycaR,protein YcaR,WVL19735.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,winged helix-turn-helix domain-containing protein,WVL19736.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,lpxK,tetraacyldisaccharide 4'-kinase,WVL19737.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,msbA,lipid A ABC transporter ATP-binding protein/permease MsbA,WVL19738.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ComEC family protein,WVL19739.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ihfB,integration host factor subunit beta,WVL19740.1
