Archivo_aln,Accession,Organismo,Gen,Producto,Proteína
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,VOC family protein,WVL21949.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF554 domain-containing protein,WVL21950.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ornithine decarboxylase,WVL21951.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,nucleoside permease,WVL21952.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mltC,membrane-bound lytic murein transglycosylase MltC,WVL21953.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,oxidative damage protection protein,WVL21954.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mutY,A/G-specific adenine glycosylase,WVL21955.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,trmB,tRNA (guanosine(46)-N7)-methyltransferase TrmB,WVL21956.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YggL family protein,WVL21957.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF2884 domain-containing protein,WVL21958.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ansB,L-asparaginase 2,WVL21959.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF1202 domain-containing protein,WVL21960.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,hemW,radical SAM family heme chaperone HemW,WVL21961.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,XTP/dITP diphosphatase,WVL21962.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yggU,DUF167 family protein YggU,WVL21963.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YggT family protein,WVL21964.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YggS family pyridoxal phosphate-dependent enzyme,WVL21965.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,type IV pilus twitching motility protein PilT,WVL21966.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,IclR family transcriptional regulator domain-containing protein,WVL21967.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ruvX,Holliday junction resolvase RuvX,WVL21968.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YqgE/AlgH family protein,WVL21969.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gshB,glutathione synthase,WVL21970.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rsmE,16S rRNA (uracil(1498)-N(3))-methyltransferase,WVL21971.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,endA,deoxyribonuclease I,WVL21972.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,SprT family zinc-dependent metalloprotease,WVL21973.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,galP,galactose/proton symporter,WVL21974.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,metK,methionine adenosyltransferase,WVL21975.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL21976.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL21977.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yqgB,acid stress response protein YqgB,WVL21978.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,speA,biosynthetic arginine decarboxylase,WVL21979.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL21980.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,FCD domain-containing protein,WVL21981.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,XQW33429.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,mannitol dehydrogenase family protein,WVL21982.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,zinc-binding alcohol dehydrogenase family protein,WVL21983.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,Ldh family oxidoreductase,WVL21984.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YhcH/YjgK/YiaL family protein,WVL21985.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,alpha/beta fold hydrolase,WVL21986.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,speB,agmatinase,WVL21987.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,ND
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,M48 family metallopeptidase,WVL21988.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,tkt,transketolase,WVL21989.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ABC transporter ATP-binding protein,WVL21990.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ATP-binding cassette domain-containing protein,WVL21991.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,energy-coupling factor transporter transmembrane component T,WVL21992.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,ECF transporter S component,WVL21993.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,PPC domain-containing DNA-binding protein,WVL21994.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,epd,erythrose-4-phosphate dehydrogenase,WVL21995.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pgk,phosphoglycerate kinase,WVL21996.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fbaA,class II fructose-bisphosphate aldolase,WVL21997.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,small-conductance mechanosensitive channel MscS,WVL21998.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,argO,arginine exporter ArgO,WVL21999.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,oxidative stress defense protein,WVL22000.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,argP,DNA-binding transcriptional regulator ArgP,WVL22001.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rpiA,ribose-5-phosphate isomerase RpiA,WVL22002.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,serA,phosphoglycerate dehydrogenase,WVL22003.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,5-formyltetrahydrofolate cyclo-ligase,WVL22004.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,zapA,cell division protein ZapA,WVL22005.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YecA family protein,WVL22006.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pepP,Xaa-Pro aminopeptidase,WVL22007.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ubiH,2-octaprenyl-6-methoxyphenyl hydroxylase,WVL22008.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ubiI,FAD-dependent 2-octaprenylphenol hydroxylase,ND
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gcvT,glycine cleavage system aminomethyltransferase GcvT,WVL22009.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gcvH,glycine cleavage system protein GcvH,WVL22010.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gcvP,aminomethyl-transferring glycine dehydrogenase,WVL22011.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,transporter,WVL22012.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,bglA,6-phospho-beta-glucosidase BglA,WVL22013.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yqfB,N(4)-acetylcytidine aminohydrolase,WVL22014.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,trhA,PAQR family membrane homeostasis protein TrhA,WVL22015.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ygfZ,tRNA-modifying protein YgfZ,WVL22016.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sdhE,FAD assembly factor SdhE,WVL22017.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,protein YgfX,WVL22018.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fldB,flavodoxin FldB,WVL22019.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,xerD,site-specific tyrosine recombinase XerD,WVL22020.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dsbC,bifunctional protein-disulfide isomerase/oxidoreductase DsbC,WVL22021.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,recJ,single-stranded-DNA-specific exonuclease RecJ,WVL22022.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,prfB,peptide chain release factor 2,WVL22023.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,lysS,lysine--tRNA ligase,WVL22024.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,idi,isopentenyl-diphosphate Delta-isomerase,WVL22025.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,actS,amidase activator ActS,WVL22026.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF1460 domain-containing protein,WVL22027.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL23414.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,vapB,toxin-antitoxin system antitoxin VapB,WVL22028.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,vapC,tRNA(fMet)-specific endonuclease VapC,WVL22029.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,STM3031 family outer membrane protein,WVL22030.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YfdX family protein,WVL22031.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,fimbrial protein,WVL22032.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,stdB,fimbrial outer membrane usher protein StdB,WVL22033.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,stdC,fimbrial biogenesis chaperone StdC,WVL22034.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,fimbrial protein,WVL22035.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,CaiF/GrlA family transcriptional regulator,WVL22036.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,transcriptional regulator,WVL22037.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,nickel/cobalt efflux protein RcnA,WVL22038.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rcnR,Ni(II)/Co(II)-binding transcriptional repressor RcnR,WVL22039.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,amino acid permease,WVL22040.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,multidrug/biocide efflux PACE transporter,WVL22041.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,LysR family transcriptional regulator,WVL22042.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,acetyl-CoA C-acetyltransferase,WVL22043.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,kduI,5-dehydro-4-deoxy-D-glucuronate isomerase,WVL22044.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,kduD,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD,WVL22045.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,araE,arabinose-proton symporter AraE,WVL22046.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,aspartate/glutamate racemase,WVL22047.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,LysR family transcriptional regulator,WVL22048.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,lysA,diaminopimelate decarboxylase,WVL22049.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,LacI family DNA-binding transcriptional regulator,WVL23415.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,galR,HTH-type transcriptional regulator GalR,WVL22050.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,aas,bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase,WVL22051.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,lplT,lysophospholipid transporter LplT,WVL22052.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,NADP(H)-dependent aldo-keto reductase,WVL22053.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YgdI/YgdR family lipoprotein,WVL22054.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,TerC family protein,WVL22055.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mutH,DNA mismatch repair endonuclease MutH,WVL22056.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rppH,RNA pyrophosphohydrolase,WVL22057.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ptsP,phosphoenolpyruvate--protein phosphotransferase,WVL22058.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,lgt,prolipoprotein diacylglyceryl transferase,WVL22059.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,thyA,thymidylate synthase,WVL22060.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,prepilin peptidase-dependent protein,WVL22061.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,prepilin peptidase-dependent protein,WVL22062.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF2509 family protein,WVL22063.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,prepilin-type N-terminal cleavage/methylation domain-containing protein,WVL22064.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,recC,exodeoxyribonuclease V subunit gamma,WVL22065.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ptrA,pitrilysin,WVL22066.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,recB,exodeoxyribonuclease V subunit beta,WVL22067.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,recD,exodeoxyribonuclease V subunit alpha,WVL22068.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,argA,amino-acid N-acetyltransferase,WVL22069.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,amiC,N-acetylmuramoyl-L-alanine amidase AmiC,WVL22070.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mltA,murein transglycosylase A,WVL22071.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,tcdA,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,WVL22072.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rarD,EamA family transporter RarD,WVL23416.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csdE,cysteine desulfurase sulfur acceptor subunit CsdE,WVL22073.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,csdA,cysteine desulfurase CsdA,WVL22074.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YgdI/YgdR family lipoprotein,WVL22075.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gcvA,glycine cleavage system transcriptional regulator GcvA,WVL22076.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF423 domain-containing protein,WVL22077.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,WVL22078.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fucR,L-fucose operon activator,WVL22079.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fucU,L-fucose mutarotase,WVL22080.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fucK,L-fuculokinase,WVL22081.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fucI,L-fucose isomerase,WVL22082.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fucP,L-fucose:H+ symporter permease,WVL22083.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fucA,L-fuculose-phosphate aldolase,WVL22084.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fucO,lactaldehyde reductase,WVL22085.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,xni,flap endonuclease Xni,WVL22086.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sdaB,L-serine ammonia-lyase II,WVL22087.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sdaC,HAAAP family serine/threonine permease SdaC,WVL22088.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ppnN,nucleotide 5'-monophosphate nucleosidase PpnN,WVL22089.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,WVL22090.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,syd,SecY-interacting protein,WVL22091.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YqcC family protein,WVL22092.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,truC,tRNA pseudouridine(65) synthase TruC,WVL22093.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,flavodoxin,WVL22094.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gudP,galactarate/glucarate/glycerate transporter GudP,ND
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,enolase C-terminal domain-like protein,WVL22095.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gudD,glucarate dehydratase,WVL22096.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,glycerate kinase,WVL22097.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,barA,two-component sensor histidine kinase BarA,WVL22098.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,WVL22099.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,relA,GTP diphosphokinase,WVL22100.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,type II toxin-antitoxin system ParD family antitoxin,WVL22101.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,type II toxin-antitoxin system RelE/ParE family toxin,WVL22102.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,fimbrial protein SteA,ND
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mazG,nucleoside triphosphate pyrophosphohydrolase,WVL22103.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,pyrG,glutamine hydrolyzing CTP synthase,WVL22104.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,eno,phosphopyruvate hydratase,WVL22105.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,queE,7-carboxy-7-deazaguanine synthase QueE,WVL22106.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MBL fold metallo-hydrolase,WVL22107.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,queD,6-carboxytetrahydropterin synthase QueD,WVL22108.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cysJ,NADPH-dependent assimilatory sulfite reductase flavoprotein subunit,WVL22109.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cysI,assimilatory sulfite reductase (NADPH) hemoprotein subunit,WVL22110.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cysH,phosphoadenosine phosphosulfate reductase,WVL22111.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,sopD,SPI-1 type III secretion system effector SopD,WVL22112.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,CRISPR-associated helicase/endonuclease Cas3,WVL22113.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,casA,type I-E CRISPR-associated protein Cse1/CasA,WVL22114.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,casB,type I-E CRISPR-associated protein Cse2/CasB,WVL22115.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cas7e,type I-E CRISPR-associated protein Cas7/Cse4/CasC,WVL22116.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cas5e,type I-E CRISPR-associated protein Cas5/CasD,WVL22117.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cas6e,type I-E CRISPR-associated protein Cas6/Cse3/CasE,WVL22118.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cas1e,type I-E CRISPR-associated endonuclease Cas1e,WVL22119.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cas2e,type I-E CRISPR-associated endoribonuclease Cas2e,WVL22120.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,aminopeptidase,WVL22121.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,cysD,sulfate adenylyltransferase subunit CysD,WVL22122.1
